date,value,satellite_flag
2023-12-06 02:00,0.0000,11000000000000000000000000000000
2023-12-06 03:00,0.0000,11000000000000000000000000000000
2023-12-06 04:00,0.0237,11000000000000000000000000000000
2023-12-06 05:00,0.0515,11000000000000000000000000000000
2023-12-06 06:00,0.2895,01000000000000010000000000000000
2023-12-06 07:00,0.2147,11000000000000000000000000000000
2023-12-06 08:00,5.6336,11000000000000000000000000000000
2023-12-06 09:00,5.1582,01000000000000000010000000000000
2023-12-06 10:00,8.6067,11000000000000000000000000000000
2023-12-06 11:00,3.4994,01000000000000000000000000100000
2023-12-06 12:00,2.5229,11000000000000000000000000000000
2023-12-06 13:00,1.5883,11000000000000000000000000000000
2023-12-06 14:00,0.0000,01000000000000100000000000000000
2023-12-06 15:00,0.0000,11000000000000000000000000000000
2023-12-06 16:00,0.0000,11000000000000000000000000000000
2023-12-06 17:00,0.0000,11000000000000000000000000000000
2023-12-06 18:00,0.0000,11000000000000000000000000000000
2023-12-06 19:00,0.0000,11000000000000000000000000000000
2023-12-06 20:00,0.0000,01000000000000000010000000000000
2023-12-06 21:00,0.0000,11000000000000000000000000000000
2023-12-06 22:00,0.0000,01000000000000000000000000100000
2023-12-06 23:00,0.0000,11000000000000000000000000000000
2023-12-07 00:00,0.0000,11000000000000000000000000000000
2023-12-07 01:00,0.0000,11000000000000000000000000000000
2023-12-07 02:00,0.0000,11000000000000000000000000000000
2023-12-07 03:00,3.0465,11000000000000000000000000000000
2023-12-07 04:00,0.7097,11000000000000000000000000000000
2023-12-07 05:00,0.0148,11000000000000000000000000000000
2023-12-07 06:00,0.0000,11000000000000000000000000000000
2023-12-07 07:00,0.0000,11000000000000000000000000000000
2023-12-07 08:00,0.0000,01000000000000000010000000000000
2023-12-07 09:00,0.1025,11000000000000000000000000000000
2023-12-07 10:00,10.4439,01000000000001000000000000100000
2023-12-07 11:00,0.0000,11000000000000000000000000000000
2023-12-07 12:00,0.0000,11000000000000000000000000000000
2023-12-07 13:00,0.0000,11000000000000000000000000000000
2023-12-07 14:00,0.0000,01000000000000100000000000000000
2023-12-07 15:00,0.0000,11000000000000000000000000000000
2023-12-07 16:00,0.0000,11000000000000000000000000000000
2023-12-07 17:00,0.0000,11000000000000000000000000000000
2023-12-07 18:00,0.0000,01000000000000010000000000000000
2023-12-07 19:00,0.0000,11000000000000000000000000000000
2023-12-07 20:00,0.0000,11000000000000000000000000000000
2023-12-07 21:00,0.0000,11000000000000000000000000000000
2023-12-07 22:00,0.0000,11000000000000000000000000000000
2023-12-07 23:00,0.0000,11000000000000000000000000000000
2023-12-08 00:00,0.0000,11000000000000000000000000000000
